id,year,title,Runtime,Rating,Directors,Writers,Production companies,Genres
13547,1996,The X-Files: Season 4,,,,,,
13548,2004,Dracula III: Legacy,,,,,,
13549,2002,Bikini Bandits Experience,60,4.3,Steve Grasse,Peter Grasse-Steve Grasse-Shymala Joshi,,Crime-Comedy
13550,2004,The Goodbye Girl,103,6.1,Richard Benjamin,Neil Simon-Neil Simon,TNT-Warner Bros. Television,Comedy
13551,1999,SLC Punk,,,,,,Talk-Show
13552,1935,Famous Western Gunfighters: Desert Trail / Ride Ranger Ride / Roll on Texas Moon,,,,,,
13553,1980,Hero at Large,98,6.1,Martin Davidson,AJ Carothers,Kings Road Entertainment-Metro-Goldwyn-Mayer,Comedy-Romance
13554,1994,Car 54,89,2.5,Bill Fishman,Nat Hiken-Erik Tarloff-Erik Tarloff,Orion Pictures,Comedy
13555,2003,Hollywood Homicide,116,5.3,Ron Shelton,Robert Souza-Ron Shelton,Revolution Studios-Pitt-Shelton Productions-The Pitt Group,Action-Comedy-Crime-Thriller
13556,1999,The West Wing: Season 2,,,,,,
13557,1995,Star Trek: Deep Space Nine: Season 4,,6.4,,Gul Gergely Csaszar-András Császár-David Luehmann,Novotrade,Action-Sci-Fi
13558,1999,An American Tail: The Mystery of the Night Monster,78,6.1,Larry Latham,David Kirschner-Len Uhley,Universal Cartoon Studios,Animation-Adventure-Family-Mystery
13559,2001,In the Time of the Butterflies,95,6.8,Mariano Barroso,Julia Álvarez-Judy Klass-David Klass,Metro-Goldwyn-Mayer-Showtime Networks-Ventanarosa Productions,Crime-Drama-Romance-Thriller
13560,1996,Army,153,4.5,Raam Shetty,Anees Bazmee-Sanjeev Duggal-Sanjeev Duggal,Neha-Mad Combines,Action-Drama
13561,2003,Monsieur Ibrahim,96,7.4,François Dupeyron,François Dupeyron-Eric-Emmanuel Schmitt-Eric-Emmanuel Schmitt,ARP Sélection-France 3 Cinéma,Comedy-Drama
13562,1950,Rocketship X-M,77,4.9,Kurt Neumann,Orville H. Hampton-Kurt Neumann-Dalton Trumbo,Lippert Pictures,Sci-Fi
13563,1971,Master with Cracked Fingers,,,,,,
13564,2004,Carmen Electra's Aerobic Striptease,,,,,,
13565,2004,You Got Served,95,3.6,Chris Stokes,Chris Stokes,Screen Gems-The Ultimate Group Films-Melee Entertainment-Gotta Dance Inc.,Drama-Music
13566,1996,The Magic of Flight: IMAX,40,7.2,Greg MacGillivray,Jack Stephens,MacGillivray Freeman Films,Short-Documentary
13567,2001,Battle Royale,,,,,,
13568,2002,My Life on Ice,102,6.6,Olivier Ducastel-Jacques Martineau,Olivier Ducastel-Jacques Martineau,Agat Films & Cie-Canal+,Comedy-Drama-Sport
13569,2003,Die Mommie Die,90,6.5,Mark Rucker,Charles Busch-Charles Busch,Aviator Films-Bill Kenwright Films,Comedy
13570,2002,Blackwoods,,,,,,
13571,1950,The Damned Don't Cry,103,7.2,Vincent Sherman,Harold Medford-Jerome Weidman-Gertrude Walker,Warner Bros.,Crime-Drama-Film-Noir-Romance-Thriller
13572,1959,Suddenly,114,7.6,Joseph L. Mankiewicz,Tennessee Williams-Gore Vidal-Tennessee Williams,Columbia Pictures-Horizon Pictures (II)-Academy Pictures Corporation-Camp Films,Drama-Mystery-Thriller
13573,2002,Kids in the Hall: Tour of Duty,85,7.8,Dave Diomedi,Dave Foley-Bruce McCulloch-Kevin McDonald,WIN Media,Documentary-Comedy
13574,2005,Jiminy Glick in La La Wood,,,,,Hollywood 1-2-3 Inc.-ZAP Entertainment,News
13575,2000,The Spring,89,5.5,David Jackson,J.B. White-David Jackson-Kathleen Rowell,Bonnie Raskin Productions-NBC Studios,Drama-Sci-Fi
13576,1991,A Kiss Before Dying,94,5.7,James Dearden,Ira Levin-James Dearden,Universal Pictures-Initial Pictures-Kellgate Limited,Crime-Mystery-Thriller
13577,1997,Mad City,115,6.2,Costa-Gavras,Tom Matthews-Tom Matthews-Eric Williams,Warner Bros.-Arnold Kopelson Productions-Punch Productions-Warner Bros.,Crime-Drama-Thriller
13578,1961,Rocky & Bullwinkle & Friends: Season 3,,,,,,
13579,1957,The Pajama Game,101,6.8,George Abbott-Stanley Donen,George Abbott-Richard Bissell-George Abbott,Warner Bros.,Comedy-Drama-Musical-Romance
13580,1988,A Fish Called Wanda,108,7.6,Charles Crichton-John Cleese,John Cleese-Charles Crichton-John Cleese,Metro-Goldwyn-Mayer (MGM)-Prominent Features-Star Partners Limited Partnership,Comedy-Crime
13581,2003,Blue's Clues: Blue's Big Band,25,,,,,Animation-Comedy-Family-Musical
13582,1999,Never Been Kissed,107,6.0,Raja Gosnell,Abby Kohn-Marc Silverstein,Fox 2000 Pictures-Bushwood Pictures-Flower Films-Never Been Kissed Productions,Comedy-Drama-Romance
13583,1993,The Nanny: Season 1,,,,,,
13584,1983,Cheech & Chong's Still Smokin,91,5.7,Tommy Chong,Tommy Chong-Cheech Marin,Paramount Pictures-Cheech and Chong Comedy Festival Number One,Comedy-Music
13585,2001,Downtown 81,,,,,,
13586,2001,Allosaurus: A Walking with Dinosaurs Special,,,,,,
13587,1942,In Old California,88,6.4,William C. McGann,Gertrude Purcell-Frances Hyland-J. Robert Bren,Republic Pictures Corporation,Action-Romance-Western
13588,1964,The Dick Van Dyke Show: Season 4,,,,,,
13589,2004,Witches of the Caribbean,,5.2,,Jennifer Shiman,Angry Alien Productions,Animation-Comedy
13590,2000,MPD Psycho,54,7.0,Takashi Miike,Eiji Ohtsuka-Gichi Ootsuka-Yumi Sirakura,Excellent Film-Kadokawa Shoten Publishing Co.-MPD Psycho Project-Pony Canyon-Toskadomain Co. Ltd.-WOWOW,Horror-Mystery-Thriller
13591,1998,Legionnaire,99,5.4,Peter MacDonald,Sheldon Lettich-Jean-Claude Van Damme-Sheldon Lettich,Edward R. Pressman Film-Long Road Productions-Quadra Entertainment,Action-Adventure-Drama-War
13592,1949,Classic Cartoon Favorites: Extreme Sports Fun,,,,,,
13593,1997,Life Is Beautiful,116,8.6,Roberto Benigni,Vincenzo Cerami-Roberto Benigni,Melampo Cinematografica-Cecchi Gori Group Tiger Cinematografica,Comedy-Drama-Romance-War
13594,1990,Lord of the Flies,90,6.4,Harry Hook,William Golding-Jay Presson Allen,Castle Rock Entertainment-Jack's Camp-Nelson Entertainment-Signal Hill Entertainment,Adventure-Drama-Thriller
13595,2004,Around the Bend,85,6.5,Jordan Roberts,Jordan Roberts,Warner Independent Pictures,Comedy-Drama
13596,1998,Monument Ave.,93,6.6,Ted Demme,Mike Armstrong-Denis Leary,Apostle-Clinica Estetico-Filmline International-Phoenician Films-Spanky Pictures-The Kushner-Locke Company-Tribeca Productions,Crime-Drama-Thriller
13597,2001,Rough Air,,4.3,Jon Cassar,Jim Makichuk,Carlton America-Tele München Fernseh Produktionsgesellschaft,Action-Thriller
13598,2000,The Gospel According to Philip K. Dick,,,,,,
13599,1992,Article 99,100,6.1,Howard Deutch,Ron Cutler,Orion Pictures,Drama-Comedy
13600,2002,Dragon Tales: It's Cool to Be Me!,,,,,,
13601,1982,Hanky Panky,110,5.6,Sidney Poitier,Henry Rosenbaum-David Taylor,Columbia Pictures,Action-Comedy-Crime-Mystery-Thriller
13602,1982,The Man from Snowy River,102,7.3,George Miller,A.B. 'Banjo' Paterson-Cul Cullen-John Dixon,Cambridge Productions-Michael Edgley International-Snowy River Investment Pty. Ltd.,Adventure-Drama-Family-Romance-Western
13603,2002,Bear in the Big Blue House Live!,63,8.4,Dean Gordon,Mitchell Kriegman,Jim Henson Home Entertainment-Shadow Projects,Family
13604,2002,Monster Garage,50,6.0,,Joseph Mulcrone-Brian Lovett-Larry Law,Discovery Network-Original Productions-Discovery Communications,Reality-TV-Sport
13605,1983,The Man with Two Brains,93,6.4,Carl Reiner,George Gipe-Steve Martin-Carl Reiner,Aspen Film Society-Warner Bros.,Comedy-Romance-Sci-Fi
13606,1975,Deewaar,174,8.1,Yash Chopra,Javed Akhtar-Javed Akhtar-Javed Akhtar,Trimurti Films Pvt. Ltd.,Action-Crime-Drama-Thriller
13607,1992,Stop! Or My Mom Will Shoot,87,4.2,Roger Spottiswoode,Blake Snyder-William Osborne-William Davies,Northern Lights Entertainment-Universal Pictures,Action-Comedy-Family-Romance
13608,1978,A Woman Called Moses,240,7.4,,Lonne Elder III-Marcy Heidish,Henry Jaffe Enterprises Inc.-I.K.E. Productions,Biography-Drama
13609,2000,Clint Eastwood: Out of the Shadows,87,6.9,Bruce Ricker,Dave Kehr,Rhapsody Films-WNET Channel 13 New York-British Broadcasting Corporation-Eagle Rock Entertainment-WNET Channel 13 New York,Documentary-Biography
13610,2003,Spider,21,7.1,,Morgan Gendel-Marsha F. Griffin-Rick Suvalle,Adelaide Productions-Sony Pictures Television-Mainframe Entertainment-Marvel Enterprises,Animation-Action-Adventure-Crime-Drama-Sci-Fi-Thriller
13611,2004,Popeye the Sailor Man: Collector's Edition,,,,,,
13612,1984,Cheech & Chong's The Corsican Brothers,82,4.7,Tommy Chong,Tommy Chong-Cheech Marin-Rikki Marin,Orion Pictures,Comedy
13613,2003,Best Motoring: Rotary Reborn,,,,,,
13614,1999,Office Space,89,7.8,Mike Judge,Mike Judge-Mike Judge,Twentieth Century Fox-3 Arts Entertainment-Cubicle Inc.,Comedy
13615,1968,The Great Silence,105,7.8,Sergio Corbucci,Sergio Corbucci-Vittoriano Petrilli-Mario Amendola,Adelphia Compagnia Cinematografica-Les Films Corona,Western
13616,1990,Circuitry Man / Circuitry Man 2: Plughead Rewired,,,,,,
13617,2005,Jethro Tull: Nothing Is Easy: Live at the Isle of Wight 1970,80,7.4,Murray Lerner,,MLF Productions,Documentary
13618,2000,Deewane,164,4.7,Harry Baweja,,,Action-Romance
13619,2001,So Little Time,30,6.2,,Eric Cohen-Tonya Hurley-Michael S. Baser,Untitled Series Inc.,Comedy-Family
13620,1976,What's Happening!!: Season 1,,,,,,
13621,1960,Bells Are Ringing,126,7.1,Vincente Minnelli,Betty Comden-Adolph Green-Betty Comden,Metro-Goldwyn-Mayer (MGM),Comedy-Musical-Romance
13622,1994,The Client,119,6.7,Joel Schumacher,John Grisham-Akiva Goldsman-Robert Getchell,Warner Bros.-Regency Enterprises-Alcor Films,Crime-Drama-Mystery
13623,1966,Closely Watched Trains,92,7.7,Jirí Menzel,Bohumil Hrabal-Bohumil Hrabal-Jirí Menzel,Filmové studio Barrandov,Comedy-Drama-Romance-War
13624,2000,Spooky House,,,,,,
13625,1975,Cooley High,107,7.2,Michael Schultz,Eric Monte,American International Pictures,Comedy-Drama-Romance
13626,1993,Mr. Jones,114,5.8,Mike Figgis,Eric Roth-Eric Roth-Michael Cristofer,Rastar Productions,Drama-Romance
13627,1945,Film Noir Collection: Detour,,,,,,
13628,2005,Tarzan 2,72,5.6,Brian Smith,Edgar Rice Burroughs-Jim Kammerud-Brian Smith,Walt Disney Pictures-Character Builders-Disneytoon Studios,Animation-Adventure-Comedy-Family
13629,1951,Alice in Wonderland,75,7.4,Clyde Geronimi-Wilfred Jackson-Hamilton Luske,Lewis Carroll-Winston Hibler-Ted Sears,Walt Disney Productions,Animation-Adventure-Family-Fantasy-Musical
13630,1982,Nature: Dogs,,,,,,
13631,1988,The Big Heat,98,7.0,Yeung-Wah Kam-Johnnie To-Hark Tsui,Gordon Chan,Cinema City-Film Workshop,Action-Crime-Thriller
13632,1996,Wolverine,96,4.5,David Jackson,Frederick Forsyth-Robert T. Megginson,Citadel Entertainment-Eagles Journey Productions,Thriller
13633,1962,Girls! Girls! Girls!,106,5.6,Norman Taurog,Allan Weiss-Edward Anhalt-Allan Weiss,Hal Wallis Productions,Comedy-Musical
13634,1994,Fist of Legend,103,7.6,Gordon Chan,Gordon Chan-Kwong Kim Yip,Eastern Productions,Action-Drama-Thriller
13635,2001,The Amazing Race: Season 1,,,,,,
13636,1982,Fast Times at Ridgemont High,90,7.2,Amy Heckerling,Cameron Crowe-Cameron Crowe,Universal Pictures-Refugee Films,Comedy-Drama
13637,1998,Angel of the Night,98,4.2,Shaky González,Lars Detlefsen-Shaky González,Wise Guy Productions,Horror
13638,2003,George of the Jungle 2,87,3.4,David Grossman,Jordan Moffet-Bill Scott-Jay Ward,Walt Disney Pictures-Kerner Entertainment Company,Adventure-Comedy-Family
13639,2004,The Man Show Presents: Girls on Trampolines,44,7.6,,,Eagle Rock Entertainment,Short-Comedy-Music
13640,2002,The Housekeeper,91,6.3,Claude Berri,Claude Berri-Christian Oster,Canal+-Centre National de la Cinématographie-Renn Productions-TF1 Films Production,Comedy-Drama-Romance
13641,1997,Prefontaine,106,6.8,Steve James,Steve James-Eugene Corr,Hollywood Pictures,Biography-Drama-Romance-Sport
13642,1973,Tombs of the Blind Dead,,,,,,
13643,2005,Gunner Palace,,,,,,
13644,2000,What Planet Are You From?,105,5.6,Mike Nichols,Garry Shandling-Michael Leeson-Garry Shandling,Brillstein-Grey Entertainment-Columbia Pictures-What Planet Are You From? Productions,Comedy-Sci-Fi
13645,1988,Iron Eagle 2,105,3.7,Sidney J. Furie,Kevin Alyn Elders-Sidney J. Furie-Kevin Alyn Elders,Carolco Pictures-Alliance Entertainment-Canadian Entertainment Investors Number One and Company Limited Partnership-Harkot Productions,Action-Drama-Romance-War
13646,2000,X-Men: Bonus Material,,,,,,
13647,1957,Humphrey Bogart: Beat the Devil / Humphrey Bogart on Film,,,,,,
13648,1985,Summer Rental,87,6.3,Carl Reiner,Jeremy Stevens-Mark Reisman,Paramount Pictures-St. Petersburg Clearwater Film Commission,Comedy
13649,1997,Reckless,310,7.9,David Richards-Sarah Harding,Paul Abbott,Granada Television-aka Productions,Drama-Romance
13650,1992,Batman the Animated Series: Secrets of the Caped Crusader,,,,,,
13651,1997,Air Force One,124,6.5,Wolfgang Petersen,Andrew W. Marlowe,Columbia Pictures-Beacon Communications-Radiant Productions-Beacon Pictures-Etalon Film,Action-Drama-Thriller
13652,1997,Project Grizzly,,,,,,
13653,1986,The Wraith,93,5.9,Mike Marvin,Mike Marvin,New Century Entertainment Corporation-Alliance Entertainment-Turbo Productions,Action-Horror-Romance-Sci-Fi-Thriller
13654,2000,RoboCop: Meltdown,,,,,,
13655,1990,The Blood of Heroes,,,,,,
13656,2003,The Hitcher II: I've Been Waiting,93,4.3,Louis Morneau,Eric Red-Molly Meeker-Charles R. Meeker,Universal Studios Home Entertainment Family Productions,Horror-Thriller
13657,1979,Christ Stopped at Eboli,150,7.8,Francesco Rosi,Francesco Rosi-Tonino Guerra-Francesco Rosi,Rai 2-Vides Cinematografica-Action Films,Drama
13658,1993,Star Trek: Deep Space Nine: Season 2,45,7.9,,Rick Berman-Michael Piller-Gene Roddenberry,Paramount Television,Action-Adventure-Drama-Sci-Fi
13659,2003,The City of No Limits,,,,,,
13660,2000,Divine Trash,,,,,,Talk-Show
13661,2002,WWE: No Mercy 2002,180,7.3,,,,Action-Sport
13662,1994,Cobb,128,6.5,Ron Shelton,Al Stump-Al Stump-Ron Shelton,Alcor Films-Aleor Films-Regency Enterprises-Warner Bros.,Biography-Drama-Sport
13663,2000,South Park: Season 4,,,,,,
13664,2002,Submarines,,,,,,
13665,2002,As Time Goes By: Series 9,,,,,,
13666,1994,Bandit Queen,119,7.6,Shekhar Kapur,Ranjit Kapoor-Mala Sen-Mala Sen,Channel Four Films-NH Studioz,Biography-Crime-Drama
13667,2003,The Clash: The Essential Clash,103,8.3,Don Letts-Joe Strummer,,Epic Music Video,Documentary-Music
13668,2001,Irresponsible Captain Tylor TV Series,,,,,,
13669,1988,Red Dwarf: Series 4,,,,,,
13670,1997,White Badge,,,,,,
13671,1967,Samurai Rebellion,128,8.4,Masaki Kobayashi,Shinobu Hashimoto-Yasuhiko Takiguchi,Mifune Productions Co. Ltd.-Toho Company,Drama
13672,1973,Kung Fu: Season 2,,,,,,
13673,1995,Toy Story,81,8.3,John Lasseter,John Lasseter-Pete Docter-Andrew Stanton,Pixar Animation Studios-Walt Disney Pictures,Animation-Adventure-Comedy-Family-Fantasy
13674,2001,Kandahar,85,6.8,Mohsen Makhmalbaf,Mohsen Makhmalbaf,Bac Films-Makhmalbaf Productions-StudioCanal,Biography-Drama-War
13675,2004,Paparazzi,84,5.8,Paul Abascal,Forry Smith,Twentieth Century Fox-Icon Entertainment International-Icon Productions,Action-Crime-Drama-Thriller
13676,1994,Amateur,105,7.0,Hal Hartley,Hal Hartley,American Playhouse-Channel Four Films-La Sept Cinéma-True Fiction Pictures-Union Générale Cinématographique-Zenith Entertainment,Comedy-Crime-Drama-Thriller
13677,2003,Neverland,83,5.0,Damion Dietz,Damion Dietz,New Media Entertainment LLC,Drama-Fantasy
13678,1925,The Lost World,106,7.1,Harry O. Hoyt,Arthur Conan Doyle-Marion Fairfax,First National Pictures,Adventure-Fantasy-Sci-Fi
13679,1986,Sting: Bring on the Night,,,,,,
13680,1999,Red Dwarf,,,,,,
13681,2001,Surviving Gilligan's Island,100,7.3,Paul A. Kaufman,Duane Poole,CBS Entertainment Production-Landscape Entertainment-The Kaufman Company,Comedy-Drama
13682,1984,Karajan / Mutter: Beethoven: Violin Concert,,,,,,
13683,1993,The Real McCoy,105,5.5,Russell Mulcahy,Desmond Lowden-William Davies-William Osborne,Bregman/Baer Productions-Capella International-Connexion Film Productions,Crime-Drama-Thriller
13684,1944,The Fighting Sullivans,112,7.6,Lloyd Bacon,Edward Doherty-Mary C. McCall Jr.-Jules Schermer,Twentieth Century Fox,Biography-Drama-History-War
13685,1944,Cover Girl,107,6.9,Charles Vidor,Virginia Van Upp-Marion Parsonnet-Paul Gangelin,Columbia Pictures,Comedy-Musical-Romance
13686,1944,Mr. Skeffington,146,7.8,Vincent Sherman,Julius J. Epstein-Philip G. Epstein-Elizabeth von Arnim,Warner Bros.,Drama-Romance
13687,2005,Time Machine: Comic Book Superheroes Unmasked,,,,,,
13688,2004,Gungrave,,7.7,Naohito Hanai,Toshio Akashi-Takashi Hino-Takashi Hino,Ikusabune Inc.-Red Entertainment,Action-Mystery-Sci-Fi
13689,1996,English Babu Desi Mem,170,4.9,Praveen Nischol,G.M. Ayaz-Ali Raza-S. Ali Raza,Daasa Movies,Comedy-Drama-Musical-Romance
13690,1953,Law and Order,80,6.0,Nathan Juran,W.R. Burnett-Inez Cocke-John Bagni,Universal International Pictures,Action-Adventure-Western
13691,1949,The Adventures of Ichabod and Mr. Toad,68,7.1,James Algar-Clyde Geronimi-Jack Kinney,Washington Irving-Kenneth Grahame-Erdman Penner,Walt Disney Productions,Animation-Comedy-Family-Fantasy-Horror
13692,2003,Manchester United: Play Like Champions,,7.8,Barry O'Riordan,,,Documentary
13693,2000,Perfect Murder,178,6.2,Lawrence Schiller,Lawrence Schiller-Tom Topor,Chautauqua Entertainment-Fox Television Studios-Lawrence Schiller Productions-PMPT Productions-TVM Productions,Crime-Drama
13694,1990,Campion: Mystery Mile,54,7.9,Ken Hannam,Margery Allingham-John Hawkesworth-John Hawkesworth,British Broadcasting Corporation-Consolidated Productions-WGBH,Adventure-Crime-Drama-Mystery
13695,2002,Black Knight,,,,,,
13696,2002,Mondays in the Sun,113,7.7,Fernando León de Aranoa,Fernando León de Aranoa-Ignacio del Moral,Sogepaq-Elías Querejeta Producciones Cinematográficas S.L.-Mediapro-Quo Vadis Cinéma-Eyescreen S.r.l.-Televisión de Galicia (TVG) S.A.-Vía Digital-Antena 3 Televisión-Eurimages-Continental Producciones-Instituto de la Cinematografía y de las Artes Audiovisuales,Comedy-Drama
13697,2003,Screaming Dead,88,3.7,Brett Piper,Brett Piper,E.I. Independent Cinema,Horror
13698,1965,War and Peace,147,8.3,Sergey Bondarchuk,Leo Tolstoy-Sergey Bondarchuk-Vasiliy Solovyov,Mosfilm,Drama-War
13699,1999,Nancherrow,100,5.9,Simon Langton,John Goldsmith-Rosamunde Pilcher,Neue Tonfilm-Tele München Fernseh Produktionsgesellschaft-Portman Productions-Österreichischer Rundfunk-Zweites Deutsches Fernsehen,Drama-Romance
13700,2002,Hum Tumhare Hain Sanam,174,5.5,K.S. Adiyaman,K.S. Adiyaman-Arun Kumar-Ashok Mehta,B.M.B. Pictures,Drama-Romance
13701,1999,The Story of Top Gun,,,,,,
13702,1994,Black Beauty,88,6.6,Caroline Thompson,Anna Sewell-Caroline Thompson,Warner Bros.,Adventure-Drama-Family-Romance
13703,2001,Fugazi: Instrument,,,,,,
13704,1976,Baa Baa Black Sheep: Season 1,,,,,,
13705,1992,Basic Instinct,127,6.9,Paul Verhoeven,Joe Eszterhas,Carolco Pictures-Canal+,Drama-Mystery-Thriller
13706,1988,Rocket Gibraltar,99,6.6,Daniel Petrie,Amos Poe,Columbia Pictures,Drama
13707,1983,Scarface,170,8.3,Brian De Palma,Oliver Stone-Howard Hawks-Ben Hecht,Universal Pictures,Crime-Drama
13708,2005,Beyond the Gates of Splendor,,,,,,
13709,1970,The Out-of-Towners,101,7.1,Arthur Hiller,Neil Simon,Jalem Productions,Comedy
13710,2002,Cheats,86,6.2,Andrew Gurland,Andrew Gurland,New Line Cinema-BenderSpink-FilmEngine,Comedy
13711,1964,The Disorderly Orderly,90,6.4,Frank Tashlin,Frank Tashlin-Norm Liebmann-Ed Haas,Jerry Lewis Productions-York Pictures Corporation,Comedy-Romance
13712,1989,Cadillac Man,122,5.3,Buddy Van Horn,John Eskow,Malpaso Productions-Warner Bros.,Action-Comedy-Crime-Drama
13713,1969,Dark Shadows: Vol. 12,,,,,,
13714,2001,Sexual Predator,85,4.5,Robert Angelo-Rob Spera,Ed Silverstein,Magic Hour Pictures,Thriller
13715,2004,Nurse Witch Komugi,,,,,,
13716,1998,Our Mutual Friend,350,8.2,Julian Farino,Charles Dickens-Sandy Welch,British Broadcasting Corporation,Drama
13717,2003,Virgin,114,5.4,Deborah Kampmeier,Deborah Kampmeier,Full Moon Films,Drama
13718,1998,Moby Dick,180,6.5,Franc Roddam,Anton Diether-Herman Melville-Franc Roddam,American Zoetrope-Nine Network Australia-USA Pictures-Whale Productions Limited,Adventure-Drama-Thriller
13719,2001,Ek Rishtaa,174,5.4,Suneel Darshan,Suneel Darshan-Robin Bhatt-K.K. Singh,Shree Krishna International,Drama-Family
13720,2000,Crocodile,93,3.8,Tobe Hooper,Jace Anderson-Boaz Davidson-Adam Gierasch,Flat Dog Corporation-Millennium Films,Action-Adventure-Comedy-Horror-Thriller
13721,1981,Pennies from Heaven,108,6.5,Herbert Ross,Dennis Potter-Dennis Potter,Metro-Goldwyn-Mayer (MGM)-SLM Production Group-Hera Productions,Drama-Musical-Romance
13722,1989,Chandni,186,6.8,Yash Chopra,Kamna Chandra-Umesh Kalbagh-Arun Kaul,Yash Raj Films,Drama-Musical-Romance
13723,2001,Metrosexuality,,,,,,Drama-Comedy
13724,1980,The Master of Death,,,,,,
13725,2001,Tupac Shakur: Before I Wake,100,7.2,Sean Long,Michelle Amor-Bryan LaBranche-Byran LaBranche,SepiaTone Entertainment,Music-Documentary
13726,1991,Deceived,104,6.2,Damian Harris,Mary Agnes Donoghue-Mary Agnes Donoghue-Bruce Joel Rubin,Touchstone Pictures-Silver Screen Partners IV,Crime-Drama-Mystery-Thriller
13727,1959,Odds Against Tomorrow,96,7.4,Robert Wise,William P. McGivern-Abraham Polonsky-Nelson Gidding,HarBel Productions,Crime-Drama-Thriller
13728,2000,Gladiator,155,8.5,Ridley Scott,David Franzoni-David Franzoni-John Logan,DreamWorks-Universal Pictures-Scott Free Productions-Mill Film-C & L-Dawliz-Red Wagon Entertainment,Action-Adventure-Drama
13729,2003,Blue Man Group: The Complex Rock Tour Live,,,,,,
13730,2002,A Snake of June,77,7.0,Shin'ya Tsukamoto,Shin'ya Tsukamoto,Kaijyu Theater,Drama-Horror-Mystery-Thriller
13731,2001,Kwik Stop,110,7.0,Michael Gilio,Michael Gilio,Kwik Stop LLC,Comedy
13732,1962,Waltz of the Toreadors,105,5.8,John Guillermin,Jean Anouilh-Lucienne Hill-Wolf Mankowitz,Independent Artists-Julian Wintle/Leslie Parkyn Productions,Comedy
13733,2000,Fiza,170,6.2,Khalid Mohamed,Khalid Mohamed-Javed Siddiqui,The Culture Company-UTV Motion Pictures,Action-Crime-Drama-Romance
13734,1956,The Eddy Duchin Story,123,6.9,George Sidney,Samuel A. Taylor-Leo Katcher,Columbia Pictures,Biography-Drama-Music-Romance
13735,1977,Unfinished Piece for the Player Piano,103,8.0,Nikita Mikhalkov,Aleksandr Adabashyan-Anton Chekhov-Nikita Mikhalkov,Inter Allianz Film-Mosfilm,Drama
13736,2000,Left Behind: The Movie,96,4.6,Vic Sarin,Alan B. McElroy-Paul Lalonde-Joe Goodman,Cloud Ten Pictures-Namesake Entertainment,Action-Drama-Fantasy-Sci-Fi-Thriller
13737,2000,Paragraph 175,81,7.8,Rob Epstein-Jeffrey Friedman,Sharon Wood,Channel Four Films-Cinemax-HBO Theatrical Documentary-Telling Pictures-Zero Film GmbH,Documentary-History-Romance-War
13738,1996,My Fellow Americans,101,6.5,Peter Segal,E. Jack Kaplan-Richard Chapman-E. Jack Kaplan,Peters Entertainment-Storyline Entertainment,Adventure-Comedy
13739,1991,The Fresh Prince of Bel Air: Season 2,,,,,,
13740,2004,Denise Austin: Power Zone: The Ultimate Metabolism Boosting Workout,,,,,,
13741,1998,Let It Come Down: The Life of Paul Bowles,75,7.0,Jennifer Baichwal,,Requisite Productions,Documentary-Biography
13742,1931,The Public Enemy,83,7.7,William A. Wellman,Kubec Glasmon-John Bright-Harvey F. Thew,Warner Bros.,Crime-Drama
13743,1977,Wonder Woman: Season 2,,,,,,
13744,1982,The Chosen,,,,,,
13745,1954,Elephant Walk,103,6.4,William Dieterle,Robert Standish-John Lee Mahin,Paramount Pictures,Adventure-Drama
13746,2002,Ten,94,7.5,Abbas Kiarostami,Abbas Kiarostami,Abbas Kiarostami Productions-Key Lime Productions-MK2 Productions,Drama
13747,1993,Wilder Napalm,109,5.5,Glenn Gordon Caron,Vince Gilligan,Baltimore Pictures-TriStar Pictures,Comedy-Fantasy
13748,1996,The First Wives Club,103,6.3,Hugh Wilson,Olivia Goldsmith-Robert Harling,Paramount Pictures,Comedy
13749,1998,Random Encounter,93,5.1,Douglas Jackson,Matt Dorff,Allegro Productions-Home Box Office-Libra Films,Thriller-Crime
13750,2000,The Tangerine Bear,48,7.1,Bert Ring,Betty Paraskevas-Betty Paraskevas-Michael Paraskevas,Hyperion Pictures-Family Home Entertainment,Animation-Family
13751,1981,Cutter's Way,109,6.9,Ivan Passer,Newton Thornburg-Jeffrey Alan Fiskin,Gurian Entertainment,Crime-Drama-Mystery-Thriller
13752,1990,Lambada,104,3.3,Joel Silberg,Joel Silberg-Sheldon Renan-Joel Silberg,Cannon Films-Film and Television Corporation,Drama
13753,2002,Wolves of Wall Street,85,2.6,David DeCoteau,Barry L. Levy,ACH-Christopher Filmcapital-Regent Productions,Action-Horror-Mystery-Thriller
13754,1996,Profiler: Season 1,,,,,,
13755,2005,Mobsters and Mormons,90,6.2,John E. Moyer,John E. Moyer,South Jersey Productions,Comedy
13756,1957,Maverick: TV Favorites,,,,,,
13757,1989,Triumph of the Spirit,120,6.9,Robert M. Young,Shimon Arama-Zion Haen-Andrzej Krakowski,Nova International Films,Biography-Drama-History-Sport-War
13758,1989,Bloodfist,85,4.9,Terence H. Winkless,Robert King,New Horizons Picture,Action-Sport
13759,2005,The Best of Riverdance,115,8.1,Hugh Farley-John McColgan,Marina Ní Dhubhain,Tyrone Productions-Abhann Marteting,Musical
13760,1983,A Fine Romance: Set 3,,,Hal Cooper,Bob Larbey,DLT Entertainment,Comedy-Romance
13761,1969,Marquis de Sade's Justine,90,5.3,Jesús Franco,Harry Alan Towers-Marquis de Sade,Etablissement Sargon-Corona Filmproduktion-Aica Cinematografica S.R.L-American International Pictures,Drama-Horror
